unitid,hospital.name,year,HD2013.City.location.of.hospital,HD2013.ZIP.code,HD2013.Longitude.location.of.hospital,HD2013.Latitude.location.of.hospital,IC2013.Patients.total,IC2013.Number.of.first.time.patients.who.recieved.health.services,IC2013.Percent.of.first.time.patients.who.recieved.health.services,DRVIC2013.Percent.admitted...total,DRVIC2013.Percent.admitted...men,DRVIC2013.Percent.admitted...women,DRVIC2013.Admissions.yield...full.time,DRVIC2013.Hospital.monthly.expenses..2013.14,HD2013.State.abbreviation,DRVEF122013.12.month.full.time.equivalent.enrollment..2012.13,state.x,city.x,zipcode,rank,centile,superzip,adultpop,treatment,income,latitude,longitude
133553,Phc akparavuni,2013,river,32114-3900,5.557,8.112,4074,717,49,74,73,77,31,31334,cross_river,4932,FL,river,133553,31,31334,0,4932,74,4074,5.557,8.112
133650,EKO HOSPITAL,2013,surulere,32307,6.505,3.354,5029,306,73,45,39,49,50,5785,lagos,11729,FL,surulere,133650,50,5785,0,11729,45,5029,6.505,3.354
133669,Health centre Obeagu,2013,enugu,33431-0991,6.372,7.537,24889,2158,38,48,46,49,28,4790,enugu,24653,FL,enugu,133669,28,4790,0,24653,48,24889,6.372,7.537
133702,Salvation Hospital and Maternity,2013,orlu,32202,5.783,6.984,NA,NA,NA,NA,NA,NA,NA,2830,imo,21810,FL,orlu,133702,NA,2830,NA,21810,NA,NA,5.783,6.984
133711,First Referral Hospital,2013,ardo,32084,8.712,11.261,5396,507,51,50,53,47,26,16180,taraba,2644,FL,ardo,133711,26,16180,0,2644,50,5396,8.712,11.261
133809,Tudun Wada Rahazawa Dispensary,2013,kaura,33617-5527,12.373,6.660,383,105,69,59,62,56,86,14490,zamfara,502,FL,kaura,133809,86,14490,0,502,59,383,12.373,6.660
133872,Unique God Mercy Hospital,2013,osogbo,32803,7.784,4.524,2110,40,58,13,15,13,16,11830,osun,1819,FL,osogbo,133872,16,11830,1,1819,13,2110,7.784,4.524
133881,Holy Ghost Health Clinic Abia,2013,ushongo,32901-6975,7.041,9.068,7820,411,38,60,61,60,17,36020,benue,4548,FL,ushongo,133881,17,36020,0,4548,60,7820,7.041,9.068
133951,Magizawa dispensary,2013,kaura,33199,12.537,6.600,16549,2106,30,43,44,42,40,6496,zamfara,42357,FL,kaura,133951,40,6496,0,42357,43,16549,12.537,6.600
133979,Ekeoma Memorial Specialist Hospital,2013,,33054-6199,5.112,7.377,4960,NA,NA,42,35,46,20,14776,Abia,1580,FL,,133979,20,14776,0,1580,42,4960,5.112,7.377
134079,Fiyinfolu PHC,2013,osogbo,33801-5698,7.784,4.526,4963,518,60,50,50,50,26,28580,osun,2460,FL,osogbo,134079,26,28580,0,2460,50,4963,7.784,4.526
134097,Hamstring Specialist Hospital,2013,osogbo,32306-1037,7.785,4.525,29579,2652,56,57,56,57,36,6507,osun,39413,FL,osogbo,134097,36,6507,0,39413,57,29579,7.785,4.525
134130,Fanfifi Dispensary,2013,kaura,32611,12.455,6.622,27107,4000,37,47,45,48,50,6263,zamfara,47557,FL,kaura,134130,50,6263,0,47557,47,27107,12.455,6.622
134343,C.O.A. Clinic,2013,ardo,32401,8.885,11.311,NA,NA,NA,NA,NA,NA,NA,2765,taraba,4474,FL,ardo,134343,NA,2765,NA,4474,NA,NA,8.885,11.311
134510,Victory Hospital,2013,iwo,33455-1065,7.627,4.161,NA,NA,NA,NA,NA,NA,NA,5700,osun,128,FL,iwo,134510,NA,5700,NA,128,NA,NA,7.627,4.161
134608,TASU Health Clinic,2013,ardo,34981-5596,8.901,11.319,NA,NA,NA,NA,NA,NA,NA,2764,taraba,12211,FL,ardo,134608,NA,2764,NA,12211,NA,NA,8.901,11.319
134945,Prince Lamuye Maternity Home,2013,iwo,32211-3394,7.627,4.181,3498,316,41,47,52,44,31,29900,osun,3362,FL,iwo,134945,31,29900,0,3362,47,3498,7.627,4.181
135063,"Staff HealthPost,Gboyin LG Secretariat.,Ode",2013,gbonyin,32211,7.646,5.563,NA,NA,NA,NA,NA,NA,NA,7410,ekiti,345,FL,gbonyin,135063,NA,7410,NA,345,NA,NA,7.646,5.563
135081,Olukoyi PHC,2013,iwo,33309,7.628,4.176,4620,NA,NA,93,97,92,64,16284,osun,18270,FL,iwo,135081,64,16284,0,18270,93,4620,7.628,4.176
135160,Jagun-Ilu Health Post,2013,iwo,32025-2007,7.639,4.183,NA,NA,NA,NA,NA,NA,NA,3100,osun,2179,FL,iwo,135160,NA,3100,NA,2179,NA,NA,7.639,4.183
135188,DDÃ¢Â€Â˜s Eye Clinic,2013,port,34788-8751,4.796,7.025,NA,NA,NA,NA,NA,NA,NA,3172,rivers,2983,FL,port,135188,NA,3172,NA,2983,NA,NA,4.796,7.025
135364,Health Post,2013,ibom,30038-9869,4.978,7.993,NA,NA,NA,NA,NA,NA,NA,5832,Akwa_ibom,875,GA,ibom,135364,NA,5832,NA,875,NA,NA,4.978,7.993
135391,Phc Akpaka,2013,onitsha,34207,6.181,6.782,NA,NA,NA,NA,NA,NA,NA,3074,anambra,8012,FL,onitsha,135391,NA,3074,NA,8012,NA,NA,6.181,6.782
135610,Lakweme maternity,2013,kaltungo,33324,9.718,11.409,NA,NA,NA,NA,NA,NA,NA,NA,gombe,241,FL,kaltungo,135610,NA,NA,NA,241,NA,NA,9.718,11.409
135717,Uding PHC,2013,,33132-2204,10.153,12.906,NA,NA,NA,NA,NA,NA,NA,3426,Adamawa,53787,FL,,135717,NA,3426,NA,53787,NA,NA,10.153,12.906
135726,DZUMA PHC,2013,,33146,10.176,12.937,28907,1049,41,40,41,40,18,42852,Adamawa,16015,FL,,135726,18,42852,0,16015,40,28907,10.176,12.937
135939,Babal midila health clinic,2013,,33619,10.184,12.915,67,NA,NA,81,86,78,76,15995,Adamawa,320,FL,,135939,76,15995,0,320,81,67,10.184,12.915
136172,Wuro bokki health clinic,2013,,32224-7699,10.178,12.885,10635,848,48,53,55,52,28,6353,Adamawa,13989,FL,,136172,28,6353,0,13989,53,10635,10.178,12.885
136206,Kokko health clinic,2013,,33409-2911,10.128,12.779,880,97,53,51,54,47,28,22130,Adamawa,614,FL,,136206,28,22130,0,614,51,880,10.128,12.779
136215,SKYLINE Specialist. Clinic,2013,ibadan,33314-7796,7.402,3.939,4328,492,50,57,54,59,25,25430,oyo,30644,FL,ibadan,136215,25,25430,0,30644,57,4328,7.402,3.939
136233,Anu-Oluwapo Maternity Centre,2013,iwo,32578-1295,7.623,4.177,NA,NA,NA,NA,NA,NA,NA,3064,osun,5197,FL,iwo,136233,NA,3064,NA,5197,NA,NA,7.623,4.177
136330,Paragalda health clinic,2013,,33401,10.394,13.179,1618,435,64,84,81,85,43,25532,Adamawa,3175,FL,,136330,43,25532,0,3175,84,1618,10.394,13.179
136358,Hildi PHC,2013,,33461-4796,10.402,13.168,NA,NA,NA,NA,NA,NA,NA,2378,Adamawa,19938,FL,,136358,NA,2378,NA,19938,NA,NA,10.402,13.168
136473,Idera Oluwa CSDP community healt center,2013,ibadan,32504-8998,7.384,3.932,NA,NA,NA,NA,NA,NA,NA,2704,oyo,8740,FL,ibadan,136473,NA,2704,NA,8740,NA,NA,7.384,3.932
136516,Jobi Memory Hosiptal,2013,ibadan,33881-4299,7.388,3.916,NA,NA,NA,NA,NA,NA,NA,3366,oyo,7935,FL,ibadan,136516,NA,3366,NA,7935,NA,NA,7.388,3.916
136701,Wuro kae,2013,,33436-4899,10.354,13.223,NA,NA,NA,NA,NA,NA,NA,NA,Adamawa,121,FL,,136701,NA,NA,NA,121,NA,NA,10.354,13.223
136774,Jauro barkindo clinic,2013,,34234-5895,9.448,12.024,1225,NA,NA,73,71,75,29,38540,Adamawa,1273,FL,,136774,29,38540,0,1273,73,1225,9.448,12.024
136950,Jalingo health clinic,2013,,32789-4499,10.389,13.209,4729,323,53,59,59,59,17,41460,Adamawa,3085,FL,,136950,17,41460,0,3085,59,4729,10.389,13.209
137032,Alawaye Hospital,2013,ibadan,33574-6665,7.405,3.940,3178,NA,NA,77,72,80,26,19920,oyo,14572,FL,ibadan,137032,26,19920,0,14572,77,3178,7.405,3.940
137078,UBA Clinic A,2013,,33760-2822,10.458,13.227,NA,NA,NA,NA,NA,NA,NA,3232,Adamawa,21467,FL,,137078,NA,3232,NA,21467,NA,NA,10.458,13.227
137096,Elyon Specialist Hospital,2013,ibadan,32606-6210,7.403,3.933,NA,NA,NA,NA,NA,NA,NA,2532,oyo,11819,FL,ibadan,137096,NA,2532,NA,11819,NA,NA,7.403,3.933
137209,Molly Groups Specialist Hospital,2013,ibadan,32773-6199,7.402,3.926,NA,NA,NA,NA,NA,NA,NA,3131,oyo,15021,FL,ibadan,137209,NA,3131,NA,15021,NA,NA,7.402,3.926
137272,Husara health post,2013,,33165-3244,10.484,13.236,16,NA,NA,100,100,100,75,21100,Adamawa,105,FL,,137272,75,21100,0,105,100,16,10.484,13.236
137281,Oje PHC,2013,ibadan,32177,7.385,3.908,NA,NA,NA,NA,NA,NA,NA,2998,oyo,4698,FL,ibadan,137281,NA,2998,NA,4698,NA,NA,7.385,3.908
137315,Alafara / Aderogba Primary Health Care Centre,2013,ibadan,33825-9356,7.383,3.905,NA,NA,NA,NA,NA,NA,NA,3175,oyo,1902,FL,ibadan,137315,NA,3175,NA,1902,NA,NA,7.383,3.905
137351,Odo Osun Health Post,2013,ibadan,33620-9951,7.381,3.902,28512,2184,44,45,44,46,30,6410,oyo,36177,FL,ibadan,137351,30,6410,0,36177,45,28512,7.381,3.902
137476,"Government Dental Centre, Aremo",2013,ibadan,33054-6459,7.375,3.919,727,118,42,46,49,44,63,26370,oyo,2975,FL,ibadan,137476,63,26370,0,2975,46,727,7.375,3.919
137546,St GabrielÃ¢Â€Â˜s Specialist Hospital,2013,enugu,32723,6.478,7.494,10509,427,36,59,55,62,14,38330,enugu,4147,FL,enugu,137546,14,38330,0,4147,59,10509,6.478,7.494
137564,Yan gwarzo HP,2013,bichi,33801-6034,12.274,8.156,2124,511,49,59,57,62,67,19986,kano,2407,FL,bichi,137564,67,19986,0,2407,59,2124,12.274,8.156
137777,Tsidau HP,2013,bichi,33140-3854,12.300,8.149,NA,NA,NA,NA,NA,NA,NA,12500,kano,51,FL,bichi,137777,NA,12500,NA,51,NA,NA,12.300,8.149
137847,"Aduke Okin Memorial Clinic

",2013,iwo,33606-1490,7.654,4.207,15345,1186,47,52,54,51,20,25772,osun,7216,FL,iwo,137847,20,25772,0,7216,52,15345,7.654,4.207
137953,PHC OHONG,2013,river,32221,6.594,9.121,196,36,68,48,61,36,79,9840,cross_river,235,FL,river,137953,79,9840,0,235,48,196,6.594,9.121
137962,HEALTH POST BEBUATSUAN,2013,river,34655-4401,6.611,9.142,NA,NA,NA,NA,NA,NA,NA,13320,cross_river,167,FL,river,137962,NA,13320,NA,167,NA,NA,6.611,9.142
138187,HEALTH POST KAGBONG,2013,river,32801,6.624,9.138,NA,NA,NA,NA,NA,NA,NA,2378,cross_river,30467,FL,river,138187,NA,2378,NA,30467,NA,NA,6.624,9.138
138275,HEALTH POST IGWO,2013,river,33859-8797,6.630,9.121,1264,70,53,34,30,42,41,18430,cross_river,1035,FL,river,138275,41,18430,0,1035,34,1264,6.630,9.121
138293,PHC forin Doki,2013,shiroro,33827-0096,10.052,6.770,944,131,64,64,62,71,34,21050,niger,692,FL,shiroro,138293,34,21050,0,692,64,944,10.052,6.770
138354,Bargaja Dispensary,2013,batsari,32514-5750,12.764,7.213,12347,786,78,48,49,48,22,6357,katsina,10240,FL,batsari,138354,22,6357,0,10240,48,12347,12.764,7.213
138558,S/Alhaji Dispensary,2013,batsari,31793-2601,12.782,7.269,1567,667,37,71,70,72,75,3848,katsina,2564,GA,batsari,138558,75,3848,0,2564,71,1567,12.782,7.269
138600,Maidoriya HC,2013,batsari,30030-3797,12.844,7.323,1340,NA,NA,67,NA,67,28,34788,katsina,892,GA,batsari,138600,28,34788,0,892,67,1340,12.844,7.323
138716,HEALTH CENTRE IBONG,2013,river,31705,6.561,9.121,8250,354,56,20,19,21,30,6024,cross_river,3662,GA,river,138716,30,6024,0,3662,20,8250,6.561,9.121
138789,Gehe Dispensary,2013,batsari,31419-1997,12.799,7.349,3118,852,36,70,74,68,46,5085,katsina,6458,GA,batsari,138789,46,5085,0,6458,70,3118,12.799,7.349
138868,Zanko Dispensary,2013,batsari,31833,12.789,7.382,934,120,63,54,49,59,47,17400,katsina,1376,GA,batsari,138868,47,17400,0,1376,54,934,12.789,7.382
138901,Akata Dispensary,2013,batsari,30310-4498,12.774,7.304,NA,NA,NA,NA,NA,NA,NA,3006,katsina,2437,GA,batsari,138901,NA,3006,NA,2437,NA,NA,12.774,7.304
138947,M/Sharp Dispensary,2013,batsari,30314-4391,12.746,7.340,5873,460,50,57,51,59,23,21100,katsina,3201,GA,batsari,138947,23,21100,0,3201,57,5873,12.746,7.340
139144,Bethel Hospital,2013,ogbomoso,30149,8.148,4.253,3901,317,53,60,61,60,29,29090,oyo,2102,GA,ogbomoso,139144,29,29090,0,2102,60,3901,8.148,4.253
139153,Orilonise Clinic,2013,ogbomoso,30316,8.147,4.255,NA,NA,NA,NA,NA,NA,NA,8940,oyo,568,GA,ogbomoso,139153,NA,8940,NA,568,NA,NA,8.147,4.255
139199,Amdo Hospital,2013,kaltungo,30501-3668,9.822,11.319,2160,172,44,78,54,79,12,23350,gombe,2354,GA,kaltungo,139199,12,23350,0,2354,78,2160,9.822,11.319
139205,SHT clinic,2013,kaltungo,30445,9.827,11.320,475,99,51,51,53,49,60,13560,gombe,513,GA,kaltungo,139205,60,13560,0,513,51,475,9.827,11.320
139250,Aduin Primary Health Centre,2013,ogbomoso,31520-3644,8.134,4.270,1276,409,36,82,84,81,47,4388,oyo,2447,GA,ogbomoso,139250,47,4388,0,2447,82,1276,8.134,4.270
139287,Kanya PHC,2013,darazo,30331,11.068,10.355,NA,NA,NA,NA,NA,NA,NA,8325,bauchi,79,GA,darazo,139287,NA,8325,NA,79,NA,NA,11.068,10.355
139311,Baaki Health Centre,2013,ogbomoso,30260-0285,8.121,4.252,2046,389,44,48,54,45,47,5153,oyo,5844,GA,ogbomoso,139311,47,5153,0,5844,48,2046,8.121,4.252
139348,Health Post,2013,ibom,30030-4118,4.961,7.722,NA,NA,NA,NA,NA,NA,NA,NA,Akwa_ibom,288,GA,ibom,139348,NA,NA,NA,288,NA,NA,4.961,7.722
139366,Kaleh PHC,2013,kaltungo,31907-5645,9.796,11.316,3170,732,44,55,58,54,54,5514,gombe,6876,GA,kaltungo,139366,54,5514,0,6876,55,3170,9.796,11.316
139393,Ibrahim Taiwo Health Care Centre,2013,ogbomoso,30750-4164,8.130,4.248,1129,193,58,57,51,62,42,29100,oyo,1102,GA,ogbomoso,139393,42,29100,0,1102,57,1129,8.130,4.248
139463,Taraa Primary Health Centre,2013,ogbomoso,30720-3797,8.138,4.242,NA,NA,NA,NA,NA,NA,NA,3910,oyo,3846,GA,ogbomoso,139463,NA,3910,NA,3846,NA,NA,8.138,4.242
139621,Ganjigina Dispensary,2013,darazo,30401,10.775,10.539,NA,NA,NA,NA,NA,NA,NA,4206,bauchi,2345,GA,darazo,139621,NA,4206,NA,2345,NA,NA,10.775,10.539
139630,Basic Health Centre Agara,2013,oyun,30639,8.155,4.612,876,136,11,48,49,47,37,16800,kwara,748,GA,oyun,139630,37,16800,0,748,48,876,8.155,4.612
139658,Okelerin Primary Health Centre,2013,ogbomoso,30322,8.134,4.242,17475,1034,45,26,26,27,30,44008,oyo,15995,GA,ogbomoso,139658,30,44008,0,15995,26,17475,8.134,4.242
139719,Iretiolu Hospital,2013,ogbomoso,31030-4313,8.144,4.238,4076,396,50,33,34,32,44,6438,oyo,3200,GA,ogbomoso,139719,44,6438,0,3200,33,4076,8.144,4.238
139755,Shalom Hospital,2013,ogbomoso,30332-0530,8.143,4.247,14645,2684,53,55,52,60,38,10650,oyo,22188,GA,ogbomoso,139755,38,10650,0,22188,55,14645,8.143,4.247
139764,PHC Ali Bakin kogi,2013,shiroro,31709-4693,10.016,6.727,1245,256,31,68,72,66,41,5035,niger,2689,GA,shiroro,139764,41,5035,0,2689,68,1245,10.016,6.727
139861,PHCC jiko,2013,shiroro,31061,9.871,6.423,4051,911,59,68,69,68,51,8790,niger,6277,GA,shiroro,139861,51,8790,0,6277,68,4051,9.871,6.423
139931,Kukoki PHC,2013,shiroro,30460-8126,10.125,6.441,10525,2696,52,52,48,56,65,6071,niger,18824,GA,shiroro,139931,65,6071,0,18824,52,10525,10.125,6.441
139940,PHCC Manta,2013,shiroro,30303-3083,9.867,6.433,13890,2961,45,55,57,53,45,8368,niger,30943,GA,shiroro,139940,45,8368,0,30943,55,13890,9.867,6.433
139959,Park house clinic,2013,nassarawa,30602,11.983,8.562,18458,4310,60,56,53,58,48,10262,kano,34717,GA,nassarawa,139959,48,10262,0,34717,56,18458,11.983,8.562
139968,PHC Gurmana,2013,shiroro,30204,10.064,6.735,2981,847,52,45,48,44,79,3408,niger,3336,GA,shiroro,139968,79,3408,0,3336,45,2981,10.064,6.735
140146,Amazing Grace Hospital,2013,ijebu,30314-4143,6.825,3.922,NA,NA,NA,NA,NA,NA,NA,NA,ogun,204,GA,ijebu,140146,NA,NA,NA,204,NA,NA,6.825,3.922
140164,Oworu Specialist Hospital,2013,ijebu,30144-5591,6.826,3.922,9471,2140,45,57,56,57,58,5818,ogun,21215,GA,ijebu,140164,58,5818,0,21215,57,9471,6.826,3.922
140234,NiÃ¢Â€Â˜ima clinic,2013,bichi,30240-2999,12.233,8.235,1648,176,56,58,62,52,28,25690,kano,965,GA,bichi,140234,28,25690,0,965,58,1648,12.233,8.235
140252,Health centre,2013,ibom,30060,4.904,7.924,809,NA,NA,75,83,68,26,7947,Akwa_ibom,2584,GA,ibom,140252,26,7947,0,2584,75,809,4.904,7.924
140447,Basic Health Clinic Erinile South,2013,oyun,31207,8.093,4.698,3864,446,38,69,74,66,27,33120,kwara,8582,GA,oyun,140447,27,33120,0,8582,69,3864,8.093,4.698
140553,Hotoro south Phc,2013,nassarawa,30314,11.974,8.582,2690,339,52,67,67,NA,27,25468,kano,2379,GA,nassarawa,140553,27,25468,0,2379,67,2690,11.974,8.582
140562,Kaura goje Phc,2013,nassarawa,30310-1495,12.044,8.546,NA,NA,NA,NA,NA,NA,NA,NA,kano,333,GA,nassarawa,140562,NA,NA,NA,333,NA,NA,12.044,8.546
140696,Chinwendu clinic,2013,,30319-2797,5.121,7.358,4403,213,52,56,56,56,11,31280,Abia,1049,GA,,140696,11,31280,0,1049,56,4403,5.121,7.358
140720,General Hospital Erinile,2013,oyun,30901-3182,8.100,4.705,2771,140,56,44,44,43,21,13332,kwara,828,GA,oyun,140720,21,13332,0,828,44,2771,8.100,4.705
140818,Hallmark clinic,2013,nassarawa,30535-0010,11.977,8.573,850,193,45,61,64,59,49,20730,kano,2251,GA,nassarawa,140818,49,20730,0,2251,61,850,11.977,8.573
140872,Karaba Health Clinic,2013,kubau,30183-2981,11.054,8.284,1111,260,34,51,50,54,66,18670,kaduna,1283,GA,kubau,140872,66,18670,0,1283,51,1111,11.054,8.284
140951,PHC Mah,2013,kubau,31402-3146,11.074,8.243,8292,1090,42,65,62,67,29,33450,kaduna,9964,GA,kubau,140951,29,33450,0,9964,65,8292,11.074,8.243
140960,Health Clinic Dokan Tagwai,2013,kubau,31404-5310,11.075,8.289,2922,916,57,83,83,83,51,5415,kaduna,4193,GA,kubau,140960,51,5415,0,4193,83,2922,11.075,8.289
140988,B.H.C.,2013,irele,30165,6.488,5.027,1597,205,61,68,69,67,28,19670,ondo,1560,GA,irele,140988,28,19670,0,1560,68,1597,6.488,5.027
141060,Health Centre,2013,abua,30314-4399,4.832,6.686,6081,387,55,38,NA,38,22,24634,rivers,2383,GA,abua,141060,22,24634,0,2383,38,6081,4.832,6.686
141097,Modern Health Centre,2013,abua,30060-2896,4.801,6.688,1689,639,46,78,79,73,57,5732,rivers,5258,GA,abua,141097,57,5732,0,5258,78,1689,4.801,6.688
141167,Mobile ambulance,2013,batsari,31792,12.856,7.327,153,NA,NA,69,76,57,55,14740,katsina,969,GA,batsari,141167,55,14740,0,969,69,153,12.856,7.327
141185,Health Post,2013,abua,30598,4.791,6.710,1253,117,39,49,49,49,28,19000,rivers,804,GA,abua,141185,28,19000,0,804,49,1253,4.791,6.710
141237,Madaddabai Dispensary,2013,batsari,30528,12.702,7.286,470,165,51,81,82,79,54,16610,katsina,886,GA,batsari,141237,54,16610,0,886,81,470,12.702,7.286
141264,Primary health care centre atoruru,2013,owan,31698,6.862,5.857,5701,1175,30,55,55,55,54,5889,edo,11155,GA,owan,141264,54,5889,0,11155,55,5701,6.862,5.857
141325,Bamja Dispensary,2013,tafawa,31210-4462,9.795,9.655,779,95,35,43,NA,43,35,19775,bauchi,572,GA,tafawa,141325,35,19775,0,572,43,779,9.795,9.655
141334,Garin dodo dispensary,2013,batsari,30118-0001,12.700,7.172,7266,1689,52,54,50,56,56,5837,katsina,10358,GA,batsari,141334,56,5837,0,10358,54,7266,12.700,7.172
141361,Watangadiya Dispensary,2013,batsari,30582,12.755,7.222,2179,341,44,54,52,55,36,25105,katsina,1038,GA,batsari,141361,36,25105,0,1038,54,2179,12.755,7.222
141486,Primary Health Centre,2013,abua,96816-1578,4.791,6.673,914,192,29,84,87,82,35,20090,rivers,2182,HI,abua,141486,35,20090,0,2182,84,914,4.791,6.673
141565,Lim Bula Basic Health Clinic,2013,tafawa,96720-4091,9.806,9.712,1633,404,8,75,72,77,36,6536,bauchi,3674,HI,tafawa,141565,36,6536,0,3674,75,1633,9.806,9.712
141574,LGA Health pacility,2013,batsari,96822-2217,12.770,7.263,6901,1507,11,80,78,81,35,9904,katsina,17498,HI,batsari,141574,35,9904,0,17498,80,6901,12.770,7.263
141644,PHC KWAYA,2013,billiri,96813,9.721,11.040,4207,344,36,64,67,63,19,20180,gombe,5506,HI,billiri,141644,19,20180,0,5506,64,4207,9.721,11.040
141839,Model Pry Health Centre,2013,irele,96732-1643,6.430,4.912,NA,NA,NA,NA,NA,NA,NA,2670,ondo,2492,HI,irele,141839,NA,2670,NA,2492,NA,NA,6.430,4.912
141936,Dipindu dispensary,2013,wasagu,96821,11.365,5.634,NA,NA,NA,NA,NA,NA,NA,NA,kebbi,51,HI,wasagu,141936,NA,NA,NA,51,NA,NA,11.365,5.634
141981,Bajida Dispensary,2013,wasagu,96707-4507,11.371,5.685,908,243,4,76,71,79,23,6336,kebbi,1303,HI,wasagu,141981,23,6336,0,1303,76,908,11.371,5.685
142090,LAYAFI CLINIC,2013,billiri,83714-1220,9.861,11.133,65,26,26,100,100,100,72,11080,gombe,182,ID,billiri,142090,72,11080,0,182,100,65,9.861,11.133
142115,Wasagu PHC,2013,wasagu,83725,11.375,5.808,7832,1646,56,78,73,82,34,6292,kebbi,16774,ID,wasagu,142115,34,6292,0,16774,78,7832,11.375,5.808
142276,Ede-Enu,2013,nsukka,83209,6.801,7.430,NA,NA,NA,NA,NA,NA,NA,6344,enugu,10837,ID,nsukka,142276,NA,6344,NA,10837,NA,NA,6.801,7.430
142285,Biki dispensary,2013,wasagu,83844-2282,11.255,5.498,7455,823,71,66,67,64,33,6524,kebbi,10845,ID,wasagu,142285,33,6524,0,10845,66,7455,11.255,5.498
142294,Gangalawai Dispensary,2013,darazo,83605-4432,11.143,10.441,1116,251,68,91,89,92,29,24055,bauchi,1051,ID,darazo,142294,29,24055,0,1051,91,1116,11.143,10.441
142328,Bula Dispensary,2013,darazo,83501-2698,11.139,10.431,861,298,45,100,99,100,52,5786,bauchi,3199,ID,darazo,142328,52,5786,0,3199,100,861,11.139,10.431
142461,Jimin Dispensary,2013,darazo,83686-5897,11.151,10.356,1227,201,66,62,63,61,34,26550,bauchi,2290,ID,darazo,142461,34,26550,0,2290,62,1227,11.151,10.356
142522,Alagarno maternity,2013,gamawa,83460-1690,12.224,10.737,6690,1260,84,100,99,100,48,3850,bauchi,30522,ID,gamawa,142522,48,3850,0,30522,100,6690,12.224,10.737
142832,Solik Hospital,2013,alimosho,60602,6.598,3.288,NA,NA,NA,NA,NA,NA,NA,NA,lagos,968,IL,alimosho,142832,NA,NA,NA,968,NA,NA,6.598,3.288
143048,Rauf Aregbesola Flagship PHC,2013,alimosho,60603,6.595,3.283,3782,339,33,72,65,75,21,40585,lagos,3269,IL,alimosho,143048,21,40585,0,3269,72,3782,6.595,3.283
143084,Bena dispensary,2013,wasagu,61201-2296,11.294,5.941,5831,NA,NA,59,58,59,18,35835,kebbi,2555,IL,wasagu,143084,18,35835,0,2555,59,5831,11.294,5.941
143118,Duwo HC,2013,darazo,60506-4892,10.845,10.428,2536,43,93,76,77,75,34,20720,bauchi,4596,IL,darazo,143118,34,20720,0,4596,76,2536,10.845,10.428
143233,Ogundimu PHC,2013,alimosho,47374-4019,6.624,3.291,NA,NA,NA,NA,NA,NA,NA,NA,lagos,46,IN,alimosho,143233,NA,NA,NA,46,NA,NA,6.624,3.291
143288,Fatima clinic,2013,gusau,62626,12.155,6.670,528,6,94,68,67,69,32,18506,zamfara,541,IL,gusau,143288,32,18506,0,541,68,528,12.155,6.670
143297,New Bussa Air Force Hospital,2013,borgu,62305-7005,9.884,4.494,NA,NA,NA,NA,NA,NA,NA,NA,niger,224,IL,borgu,143297,NA,NA,NA,224,NA,NA,9.884,4.494
143358,Potiskum Central Health Clinic,2013,potiskum,61625-0001,11.709,11.068,8969,73,97,67,67,67,18,29664,yobe,5242,IL,potiskum,143358,18,29664,0,5242,67,8969,11.709,11.068
143659,Sckye Hospital,2013,akure,60615-5698,7.255,5.194,NA,NA,NA,NA,NA,NA,NA,NA,ondo,212,IL,akure,143659,NA,NA,NA,212,NA,NA,7.255,5.194
143853,Basic Health Centre,2013,akure,60515-5514,7.279,5.211,NA,NA,NA,NA,NA,NA,NA,NA,ondo,2818,IL,akure,143853,NA,NA,NA,2818,NA,NA,7.279,5.211
143978,Don Bosco Health Centre,2013,akure,60654,7.268,5.195,NA,NA,NA,NA,NA,NA,NA,NA,ondo,3176,IL,akure,143978,NA,NA,NA,3176,NA,NA,7.268,5.195
144005,Darazo H clinic,2013,darazo,60628-1598,10.999,10.416,5219,9,99,29,25,31,15,9032,bauchi,4871,IL,darazo,144005,15,9032,0,4871,29,5219,10.999,10.416
144014,Ahmadiyya Hospital,2013,ijebu,60637,6.831,3.924,NA,NA,NA,NA,NA,NA,NA,NA,ogun,103,IL,ijebu,144014,NA,NA,NA,103,NA,NA,6.831,3.924
144050,"F H C N/ M C H , New Bussa",2013,borgu,60637,9.884,4.511,30304,997,51,9,10,8,53,47514,niger,13697,IL,borgu,144050,53,47514,1,13697,9,30304,9.884,4.511
144281,Fajaldu PHC,2013,dange,60605-1996,12.842,5.380,8005,NA,NA,91,87,93,29,22792,sokoto,9711,IL,dange,144281,29,22792,0,9711,91,8005,12.842,5.380
144351,Tsafanade dispensary,2013,dange,60305-1499,12.927,5.334,3692,53,93,54,51,57,19,27598,sokoto,3944,IL,dange,144351,19,27598,0,3944,54,3692,12.927,5.334
144740,Disshol Specialist Centre,2013,ijebu,60604,6.827,3.927,19957,481,86,60,58,61,20,33990,ogun,21647,IL,ijebu,144740,20,33990,0,21647,60,19957,6.827,3.927
144883,PHC AJIYOLO-OJAJI,2013,dekina,60605,7.572,7.098,NA,NA,NA,NA,NA,NA,NA,18795,kogi,780,IL,dekina,144883,NA,18795,NA,780,NA,NA,7.572,7.098
144892,PHC Ogboyaga,2013,dekina,61920,7.629,7.135,7881,0,99,62,59,64,27,11144,kogi,9414,IL,dekina,144892,27,11144,0,9414,62,7881,7.629,7.135
